Model,Feature_Set,Target,Accuracy,Precision,Recall,F1_Score,Train_Samples,Test_Samples,Trained_Model,Class_Report
Support Vector Machine,KBest_100,Expression,0.7553686471009305,0.7608106670733698,0.7553686471009305,0.7569733683752055,22348,5588,SVC(random_state=42),"{'0': {'precision': 0.6029723991507431, 'recall': 0.6651053864168618, 'f1-score': 0.6325167037861915, 'support': 427.0}, '1': {'precision': 0.7133592736705577, 'recall': 0.6979695431472082, 'f1-score': 0.7055805003207184, 'support': 788.0}, '2': {'precision': 0.95, 'recall': 0.8451957295373665, 'f1-score': 0.8945386064030132, 'support': 562.0}, '3': {'precision': 0.797938144329897, 'recall': 0.7036363636363636, 'f1-score': 0.7478260869565218, 'support': 550.0}, '4': {'precision': 0.6954397394136808, 'recall': 0.789279112754159, 'f1-score': 0.7393939393939394, 'support': 541.0}, '5': {'precision': 0.7212918660287081, 'recall': 0.7119244391971665, 'f1-score': 0.7165775401069518, 'support': 847.0}, '6': {'precision': 0.6640522875816993, 'recall': 0.7016574585635359, 'f1-score': 0.6823371390194761, 'support': 724.0}, '7': {'precision': 0.9191321499013807, 'recall': 0.8910133843212237, 'f1-score': 0.9048543689320389, 'support': 523.0}, '8': {'precision': 0.8153364632237872, 'recall': 0.8322683706070287, 'f1-score': 0.8237154150197629, 'support': 626.0}, 'accuracy': 0.7553686471009305, 'macro avg': {'precision': 0.764391369255606, 'recall': 0.7597833097978793, 'f1-score': 0.7608155888820681, 'support': 5588.0}, 'weighted avg': {'precision': 0.7608106670733698, 'recall': 0.7553686471009305, 'f1-score': 0.7569733683752055, 'support': 5588.0}}"
Support Vector Machine,All_Features,Label,0.8854688618468146,0.8966745843230404,0.7641700404858299,0.825136612021858,22348,5588,SVC(random_state=42),"{'0': {'precision': 0.8806352459016393, 'recall': 0.9518272425249169, 'f1-score': 0.9148483235763704, 'support': 3612.0}, '1': {'precision': 0.8966745843230404, 'recall': 0.7641700404858299, 'f1-score': 0.825136612021858, 'support': 1976.0}, 'accuracy': 0.8854688618468146, 'macro avg': {'precision': 0.8886549151123398, 'recall': 0.8579986415053734, 'f1-score': 0.8699924677991142, 'support': 5588.0}, 'weighted avg': {'precision': 0.8863069947779257, 'recall': 0.8854688618468146, 'f1-score': 0.8831249266487188, 'support': 5588.0}}"
Support Vector Machine,PCA_75,Label,0.8849319971367215,0.8974358974358975,0.7616396761133604,0.823980290172461,22348,5588,SVC(random_state=42),"{'0': {'precision': 0.879570442342112, 'recall': 0.9523809523809523, 'f1-score': 0.9145287784128672, 'support': 3612.0}, '1': {'precision': 0.8974358974358975, 'recall': 0.7616396761133604, 'f1-score': 0.823980290172461, 'support': 1976.0}, 'accuracy': 0.8849319971367215, 'macro avg': {'precision': 0.8885031698890047, 'recall': 0.8570103142471563, 'f1-score': 0.8692545342926641, 'support': 5588.0}, 'weighted avg': {'precision': 0.8858879332628923, 'recall': 0.8849319971367215, 'f1-score': 0.8825094847902755, 'support': 5588.0}}"
Support Vector Machine,KBest_100,Label,0.8695418754473873,0.8731298623578695,0.7383603238866396,0.8001096791883741,22348,5588,SVC(random_state=42),"{'0': {'precision': 0.8680112330865458, 'recall': 0.9413067552602437, 'f1-score': 0.9031743923495816, 'support': 3612.0}, '1': {'precision': 0.8731298623578695, 'recall': 0.7383603238866396, 'f1-score': 0.8001096791883741, 'support': 1976.0}, 'accuracy': 0.8695418754473873, 'macro avg': {'precision': 0.8705705477222077, 'recall': 0.8398335395734416, 'f1-score': 0.8516420357689778, 'support': 5588.0}, 'weighted avg': {'precision': 0.8698212566084026, 'recall': 0.8695418754473873, 'f1-score': 0.8667291752403214, 'support': 5588.0}}"
Neural Network (MLP),All_Features,Expression,0.9729778095919828,0.9731421817719039,0.9729778095919828,0.9729947534383421,22348,5588,"MLPClassifier(activation='tanh', hidden_layer_sizes=(200, 100, 50),
              max_iter=500, random_state=42)","{'0': {'precision': 0.9375, 'recall': 0.9836065573770492, 'f1-score': 0.96, 'support': 427.0}, '1': {'precision': 0.9672544080604534, 'recall': 0.9746192893401016, 'f1-score': 0.9709228824273072, 'support': 788.0}, '2': {'precision': 0.9736379613356766, 'recall': 0.9857651245551602, 'f1-score': 0.9796640141467727, 'support': 562.0}, '3': {'precision': 0.9669724770642202, 'recall': 0.9581818181818181, 'f1-score': 0.9625570776255707, 'support': 550.0}, '4': {'precision': 0.9814814814814815, 'recall': 0.9796672828096118, 'f1-score': 0.9805735430157262, 'support': 541.0}, '5': {'precision': 0.978391356542617, 'recall': 0.9622195985832349, 'f1-score': 0.9702380952380952, 'support': 847.0}, '6': {'precision': 0.9707112970711297, 'recall': 0.9613259668508287, 'f1-score': 0.9659958362248439, 'support': 724.0}, '7': {'precision': 0.9922928709055877, 'recall': 0.9847036328871893, 'f1-score': 0.9884836852207294, 'support': 523.0}, '8': {'precision': 0.9823434991974318, 'recall': 0.9776357827476039, 'f1-score': 0.9799839871897518, 'support': 626.0}, 'accuracy': 0.9729778095919828, 'macro avg': {'precision': 0.9722872612953998, 'recall': 0.9741916725925108, 'f1-score': 0.9731576801209774, 'support': 5588.0}, 'weighted avg': {'precision': 0.9731421817719039, 'recall': 0.9729778095919828, 'f1-score': 0.9729947534383421, 'support': 5588.0}}"
Neural Network (MLP),PCA_75,Expression,0.9817465998568361,0.9817697395384174,0.9817465998568361,0.9817422553712422,22348,5588,"MLPClassifier(activation='tanh', hidden_layer_sizes=(200, 100, 50),
              max_iter=500, random_state=42)","{'0': {'precision': 0.9767441860465116, 'recall': 0.9836065573770492, 'f1-score': 0.9801633605600933, 'support': 427.0}, '1': {'precision': 0.9785082174462706, 'recall': 0.9822335025380711, 'f1-score': 0.980367321089297, 'support': 788.0}, '2': {'precision': 0.9928825622775801, 'recall': 0.9928825622775801, 'f1-score': 0.9928825622775801, 'support': 562.0}, '3': {'precision': 0.9763636363636363, 'recall': 0.9763636363636363, 'f1-score': 0.9763636363636363, 'support': 550.0}, '4': {'precision': 0.9795918367346939, 'recall': 0.9759704251386322, 'f1-score': 0.9777777777777777, 'support': 541.0}, '5': {'precision': 0.9821640903686087, 'recall': 0.9752066115702479, 'f1-score': 0.9786729857819905, 'support': 847.0}, '6': {'precision': 0.9726775956284153, 'recall': 0.9834254143646409, 'f1-score': 0.978021978021978, 'support': 724.0}, '7': {'precision': 0.9905123339658444, 'recall': 0.9980879541108987, 'f1-score': 0.9942857142857143, 'support': 523.0}, '8': {'precision': 0.9886363636363636, 'recall': 0.9728434504792333, 'f1-score': 0.9806763285024155, 'support': 626.0}, 'accuracy': 0.9817465998568361, 'macro avg': {'precision': 0.9820089802742138, 'recall': 0.9822911238022211, 'f1-score': 0.9821346294067204, 'support': 5588.0}, 'weighted avg': {'precision': 0.9817697395384174, 'recall': 0.9817465998568361, 'f1-score': 0.9817422553712422, 'support': 5588.0}}"
Neural Network (MLP),KBest_100,Expression,0.9593772369362921,0.959897021251045,0.9593772369362921,0.9594970402257958,22348,5588,"MLPClassifier(activation='tanh', hidden_layer_sizes=(200, 100, 50),
              max_iter=500, random_state=42)","{'0': {'precision': 0.9050772626931567, 'recall': 0.9601873536299765, 'f1-score': 0.9318181818181818, 'support': 427.0}, '1': {'precision': 0.9534591194968554, 'recall': 0.9619289340101523, 'f1-score': 0.9576753000631711, 'support': 788.0}, '2': {'precision': 0.9928057553956835, 'recall': 0.9822064056939501, 'f1-score': 0.9874776386404294, 'support': 562.0}, '3': {'precision': 0.9703153988868275, 'recall': 0.9509090909090909, 'f1-score': 0.960514233241506, 'support': 550.0}, '4': {'precision': 0.9476534296028881, 'recall': 0.9704251386321626, 'f1-score': 0.958904109589041, 'support': 541.0}, '5': {'precision': 0.9682926829268292, 'recall': 0.9374262101534829, 'f1-score': 0.9526094781043791, 'support': 847.0}, '6': {'precision': 0.9140518417462483, 'recall': 0.925414364640884, 'f1-score': 0.9196980096087852, 'support': 724.0}, '7': {'precision': 0.9961685823754789, 'recall': 0.994263862332696, 'f1-score': 0.9952153110047847, 'support': 523.0}, '8': {'precision': 0.9886363636363636, 'recall': 0.9728434504792333, 'f1-score': 0.9806763285024155, 'support': 626.0}, 'accuracy': 0.9593772369362921, 'macro avg': {'precision': 0.9596067151955923, 'recall': 0.9617338678312921, 'f1-score': 0.960509843396966, 'support': 5588.0}, 'weighted avg': {'precision': 0.959897021251045, 'recall': 0.9593772369362921, 'f1-score': 0.9594970402257958, 'support': 5588.0}}"
Neural Network (MLP),All_Features,Label,0.940050107372942,0.9399463806970509,0.8871457489878543,0.9127831293933871,22348,5588,"MLPClassifier(activation='tanh', hidden_layer_sizes=(200, 100, 50),
              max_iter=500, random_state=42)","{'0': {'precision': 0.9401020682245501, 'recall': 0.9689922480620154, 'f1-score': 0.9543285616905249, 'support': 3612.0}, '1': {'precision': 0.9399463806970509, 'recall': 0.8871457489878543, 'f1-score': 0.9127831293933871, 'support': 1976.0}, 'accuracy': 0.940050107372942, 'macro avg': {'precision': 0.9400242244608006, 'recall': 0.9280689985249349, 'f1-score': 0.933555845541956, 'support': 5588.0}, 'weighted avg': {'precision': 0.9400470147967873, 'recall': 0.940050107372942, 'f1-score': 0.9396374782583231, 'support': 5588.0}}"
Neural Network (MLP),PCA_75,Label,0.9368289191123836,0.921996879875195,0.8972672064777328,0.9094639651192613,22348,5588,"MLPClassifier(activation='tanh', hidden_layer_sizes=(200, 100, 50),
              max_iter=500, random_state=42)","{'0': {'precision': 0.9446111869031378, 'recall': 0.9584717607973422, 'f1-score': 0.9514909990380651, 'support': 3612.0}, '1': {'precision': 0.921996879875195, 'recall': 0.8972672064777328, 'f1-score': 0.9094639651192613, 'support': 1976.0}, 'accuracy': 0.9368289191123836, 'macro avg': {'precision': 0.9333040333891665, 'recall': 0.9278694836375375, 'f1-score': 0.9304774820786632, 'support': 5588.0}, 'weighted avg': {'precision': 0.9366144312325553, 'recall': 0.9368289191123836, 'f1-score': 0.9366296141018524, 'support': 5588.0}}"
Neural Network (MLP),KBest_100,Label,0.9345025053686471,0.909877800407332,0.9043522267206477,0.9071065989847715,22348,5588,"MLPClassifier(activation='tanh', hidden_layer_sizes=(200, 100, 50),
              max_iter=500, random_state=42)","{'0': {'precision': 0.9478476821192053, 'recall': 0.9509966777408638, 'f1-score': 0.9494195688225538, 'support': 3612.0}, '1': {'precision': 0.909877800407332, 'recall': 0.9043522267206477, 'f1-score': 0.9071065989847715, 'support': 1976.0}, 'accuracy': 0.9345025053686471, 'macro avg': {'precision': 0.9288627412632686, 'recall': 0.9276744522307558, 'f1-score': 0.9282630839036627, 'support': 5588.0}, 'weighted avg': {'precision': 0.934420966610497, 'recall': 0.9345025053686471, 'f1-score': 0.9344570726880769, 'support': 5588.0}}"
