Model,Feature_Set,Target,Accuracy,Precision,Recall,F1_Score,Train_Samples,Test_Samples,Trained_Model,Class_Report
K-Nearest Neighbors,PCA_75,Label,0.908554044380816,0.9040264754550469,0.8294534412955465,0.8651359197677487,22348,5588,KNeighborsClassifier(),"{'0': {'precision': 0.9107284768211921, 'recall': 0.9518272425249169, 'f1-score': 0.9308244212806281, 'support': 3612.0}, '1': {'precision': 0.9040264754550469, 'recall': 0.8294534412955465, 'f1-score': 0.8651359197677487, 'support': 1976.0}, 'accuracy': 0.908554044380816, 'macro avg': {'precision': 0.9073774761381195, 'recall': 0.8906403419102318, 'f1-score': 0.8979801705241884, 'support': 5588.0}, 'weighted avg': {'precision': 0.9083585493517033, 'recall': 0.908554044380816, 'f1-score': 0.9075959891064246, 'support': 5588.0}}"
K-Nearest Neighbors,KBest_100,Label,0.9139226914817467,0.9082468596395412,0.8415991902834008,0.8736537956396112,22348,5588,KNeighborsClassifier(),"{'0': {'precision': 0.9166888474846953, 'recall': 0.9534883720930233, 'f1-score': 0.9347265571990773, 'support': 3612.0}, '1': {'precision': 0.9082468596395412, 'recall': 0.8415991902834008, 'f1-score': 0.8736537956396112, 'support': 1976.0}, 'accuracy': 0.9139226914817467, 'macro avg': {'precision': 0.9124678535621182, 'recall': 0.8975437811882121, 'f1-score': 0.9041901764193443, 'support': 5588.0}, 'weighted avg': {'precision': 0.9137036348894869, 'recall': 0.9139226914817467, 'f1-score': 0.9131303193963742, 'support': 5588.0}}"
Decision Tree,All_Features,Expression,0.8960272011453114,0.8964778716602775,0.8960272011453114,0.8960688310173193,22348,5588,"DecisionTreeClassifier(max_depth=15, random_state=42)","{'0': {'precision': 0.8497652582159625, 'recall': 0.8477751756440282, 'f1-score': 0.8487690504103166, 'support': 427.0}, '1': {'precision': 0.8974700399467377, 'recall': 0.8553299492385786, 'f1-score': 0.875893437296946, 'support': 788.0}, '2': {'precision': 0.9364791288566243, 'recall': 0.9181494661921709, 'f1-score': 0.9272237196765498, 'support': 562.0}, '3': {'precision': 0.8568965517241379, 'recall': 0.9036363636363637, 'f1-score': 0.879646017699115, 'support': 550.0}, '4': {'precision': 0.8828996282527881, 'recall': 0.878003696857671, 'f1-score': 0.8804448563484708, 'support': 541.0}, '5': {'precision': 0.8937947494033412, 'recall': 0.8842975206611571, 'f1-score': 0.8890207715133531, 'support': 847.0}, '6': {'precision': 0.853887399463807, 'recall': 0.8798342541436464, 'f1-score': 0.8666666666666667, 'support': 724.0}, '7': {'precision': 0.9807321772639692, 'recall': 0.9732313575525813, 'f1-score': 0.9769673704414588, 'support': 523.0}, '8': {'precision': 0.92018779342723, 'recall': 0.939297124600639, 'f1-score': 0.9296442687747035, 'support': 626.0}, 'accuracy': 0.8960272011453114, 'macro avg': {'precision': 0.896901414061622, 'recall': 0.8977283231696485, 'f1-score': 0.8971417954252866, 'support': 5588.0}, 'weighted avg': {'precision': 0.8964778716602775, 'recall': 0.8960272011453114, 'f1-score': 0.8960688310173193, 'support': 5588.0}}"
Decision Tree,PCA_75,Expression,0.8255189692197566,0.8262831439602405,0.8255189692197566,0.8256292666277107,22348,5588,"DecisionTreeClassifier(max_depth=15, random_state=42)","{'0': {'precision': 0.7990314769975787, 'recall': 0.7728337236533958, 'f1-score': 0.7857142857142857, 'support': 427.0}, '1': {'precision': 0.7821782178217822, 'recall': 0.8020304568527918, 'f1-score': 0.7919799498746867, 'support': 788.0}, '2': {'precision': 0.8321678321678322, 'recall': 0.8469750889679716, 'f1-score': 0.8395061728395061, 'support': 562.0}, '3': {'precision': 0.7847222222222222, 'recall': 0.8218181818181818, 'f1-score': 0.8028419182948491, 'support': 550.0}, '4': {'precision': 0.7928994082840237, 'recall': 0.7430683918669131, 'f1-score': 0.767175572519084, 'support': 541.0}, '5': {'precision': 0.8123515439429929, 'recall': 0.807556080283353, 'f1-score': 0.8099467140319716, 'support': 847.0}, '6': {'precision': 0.8005284015852048, 'recall': 0.8370165745856354, 'f1-score': 0.8183659689399054, 'support': 724.0}, '7': {'precision': 0.9572815533980582, 'recall': 0.9426386233269598, 'f1-score': 0.9499036608863198, 'support': 523.0}, '8': {'precision': 0.8996655518394648, 'recall': 0.8594249201277955, 'f1-score': 0.8790849673202614, 'support': 626.0}, 'accuracy': 0.8255189692197566, 'macro avg': {'precision': 0.8289806898065732, 'recall': 0.825929115720333, 'f1-score': 0.8271688011578744, 'support': 5588.0}, 'weighted avg': {'precision': 0.8262831439602405, 'recall': 0.8255189692197566, 'f1-score': 0.8256292666277107, 'support': 5588.0}}"
Decision Tree,KBest_100,Expression,0.8203292770221904,0.8231787280742946,0.8203292770221904,0.8208475290304748,22348,5588,"DecisionTreeClassifier(max_depth=15, random_state=42)","{'0': {'precision': 0.6857142857142857, 'recall': 0.7306791569086651, 'f1-score': 0.7074829931972789, 'support': 427.0}, '1': {'precision': 0.7214285714285714, 'recall': 0.7690355329949239, 'f1-score': 0.7444717444717445, 'support': 788.0}, '2': {'precision': 0.9251824817518248, 'recall': 0.902135231316726, 'f1-score': 0.9135135135135135, 'support': 562.0}, '3': {'precision': 0.7724957555178268, 'recall': 0.8272727272727273, 'f1-score': 0.7989464442493416, 'support': 550.0}, '4': {'precision': 0.8003597122302158, 'recall': 0.822550831792976, 'f1-score': 0.8113035551504102, 'support': 541.0}, '5': {'precision': 0.806831566548881, 'recall': 0.8087367178276269, 'f1-score': 0.8077830188679245, 'support': 847.0}, '6': {'precision': 0.8336025848142165, 'recall': 0.712707182320442, 'f1-score': 0.7684288905435592, 'support': 724.0}, '7': {'precision': 0.9631067961165048, 'recall': 0.9483747609942639, 'f1-score': 0.9556840077071291, 'support': 523.0}, '8': {'precision': 0.9108589951377634, 'recall': 0.8977635782747604, 'f1-score': 0.9042638777152051, 'support': 626.0}, 'accuracy': 0.8203292770221904, 'macro avg': {'precision': 0.8243978610288989, 'recall': 0.824361746633679, 'f1-score': 0.8235420050462341, 'support': 5588.0}, 'weighted avg': {'precision': 0.8231787280742946, 'recall': 0.8203292770221904, 'f1-score': 0.8208475290304748, 'support': 5588.0}}"
Decision Tree,All_Features,Label,0.8938797423049392,0.8760195758564437,0.8152834008097166,0.8445609436435124,22348,5588,"DecisionTreeClassifier(max_depth=15, random_state=42)","{'0': {'precision': 0.9026407041877834, 'recall': 0.9368770764119602, 'f1-score': 0.9194402934383915, 'support': 3612.0}, '1': {'precision': 0.8760195758564437, 'recall': 0.8152834008097166, 'f1-score': 0.8445609436435124, 'support': 1976.0}, 'accuracy': 0.8938797423049392, 'macro avg': {'precision': 0.8893301400221136, 'recall': 0.8760802386108384, 'f1-score': 0.8820006185409519, 'support': 5588.0}, 'weighted avg': {'precision': 0.8932270768465652, 'recall': 0.8938797423049392, 'f1-score': 0.8929618404686919, 'support': 5588.0}}"
Decision Tree,PCA_75,Label,0.851109520400859,0.8283582089552238,0.7302631578947368,0.7762237762237763,22348,5588,"DecisionTreeClassifier(max_depth=15, random_state=42)","{'0': {'precision': 0.8614144565782631, 'recall': 0.917220376522702, 'f1-score': 0.8884419415392867, 'support': 3612.0}, '1': {'precision': 0.8283582089552238, 'recall': 0.7302631578947368, 'f1-score': 0.7762237762237763, 'support': 1976.0}, 'accuracy': 0.851109520400859, 'macro avg': {'precision': 0.8448863327667435, 'recall': 0.8237417672087195, 'f1-score': 0.8323328588815315, 'support': 5588.0}, 'weighted avg': {'precision': 0.8497252752427001, 'recall': 0.851109520400859, 'f1-score': 0.848759927462077, 'support': 5588.0}}"
Decision Tree,KBest_100,Label,0.8915533285612026,0.8776185226019846,0.805668016194332,0.8401055408970977,22348,5588,"DecisionTreeClassifier(max_depth=15, random_state=42)","{'0': {'precision': 0.8982511923688394, 'recall': 0.9385382059800664, 'f1-score': 0.9179528838342811, 'support': 3612.0}, '1': {'precision': 0.8776185226019846, 'recall': 0.805668016194332, 'f1-score': 0.8401055408970977, 'support': 1976.0}, 'accuracy': 0.8915533285612026, 'macro avg': {'precision': 0.887934857485412, 'recall': 0.8721031110871993, 'f1-score': 0.8790292123656893, 'support': 5588.0}, 'weighted avg': {'precision': 0.89095517313847, 'recall': 0.8915533285612026, 'f1-score': 0.8904249042988704, 'support': 5588.0}}"
Support Vector Machine,All_Features,Expression,0.9053328561202577,0.9060984939948714,0.9053328561202577,0.9054805992845387,22348,5588,SVC(random_state=42),"{'0': {'precision': 0.8329621380846325, 'recall': 0.8758782201405152, 'f1-score': 0.8538812785388128, 'support': 427.0}, '1': {'precision': 0.8969849246231156, 'recall': 0.9060913705583756, 'f1-score': 0.9015151515151515, 'support': 788.0}, '2': {'precision': 0.943609022556391, 'recall': 0.8932384341637011, 'f1-score': 0.9177330895795247, 'support': 562.0}, '3': {'precision': 0.9398058252427185, 'recall': 0.88, 'f1-score': 0.9089201877934272, 'support': 550.0}, '4': {'precision': 0.8860294117647058, 'recall': 0.8909426987060998, 'f1-score': 0.8884792626728111, 'support': 541.0}, '5': {'precision': 0.889281507656066, 'recall': 0.8913813459268005, 'f1-score': 0.8903301886792453, 'support': 847.0}, '6': {'precision': 0.8707940780619112, 'recall': 0.893646408839779, 'f1-score': 0.8820722563053851, 'support': 724.0}, '7': {'precision': 0.9659090909090909, 'recall': 0.9751434034416826, 'f1-score': 0.9705042816365367, 'support': 523.0}, '8': {'precision': 0.935126582278481, 'recall': 0.9440894568690096, 'f1-score': 0.9395866454689984, 'support': 626.0}, 'accuracy': 0.9053328561202577, 'macro avg': {'precision': 0.9067225090196792, 'recall': 0.9056012598495516, 'f1-score': 0.9058913713544325, 'support': 5588.0}, 'weighted avg': {'precision': 0.9060984939948714, 'recall': 0.9053328561202577, 'f1-score': 0.9054805992845387, 'support': 5588.0}}"
Support Vector Machine,PCA_75,Expression,0.901395848246242,0.9022794998260028,0.901395848246242,0.9015756218473797,22348,5588,SVC(random_state=42),"{'0': {'precision': 0.8226164079822617, 'recall': 0.8688524590163934, 'f1-score': 0.8451025056947609, 'support': 427.0}, '1': {'precision': 0.9007633587786259, 'recall': 0.8984771573604061, 'f1-score': 0.8996188055908514, 'support': 788.0}, '2': {'precision': 0.9400749063670412, 'recall': 0.8932384341637011, 'f1-score': 0.916058394160584, 'support': 562.0}, '3': {'precision': 0.9377431906614786, 'recall': 0.8763636363636363, 'f1-score': 0.9060150375939849, 'support': 550.0}, '4': {'precision': 0.8833333333333333, 'recall': 0.8817005545286506, 'f1-score': 0.8825161887141536, 'support': 541.0}, '5': {'precision': 0.885478158205431, 'recall': 0.885478158205431, 'f1-score': 0.885478158205431, 'support': 847.0}, '6': {'precision': 0.8579017264276229, 'recall': 0.8922651933701657, 'f1-score': 0.8747461069735951, 'support': 724.0}, '7': {'precision': 0.9659090909090909, 'recall': 0.9751434034416826, 'f1-score': 0.9705042816365367, 'support': 523.0}, '8': {'precision': 0.9307086614173228, 'recall': 0.9440894568690096, 'f1-score': 0.9373513084853291, 'support': 626.0}, 'accuracy': 0.901395848246242, 'macro avg': {'precision': 0.9027254260091344, 'recall': 0.9017342725910085, 'f1-score': 0.9019323096728029, 'support': 5588.0}, 'weighted avg': {'precision': 0.9022794998260028, 'recall': 0.901395848246242, 'f1-score': 0.9015756218473797, 'support': 5588.0}}"
